numero;orgao;sigla;vinculo;tipo_administracao;endereço;telefone;responsavel
1;Gabinete do Prefeito;GABPREF; ;DIRETA;;;
2;Gabinete do Vice-Prefeito;GABVICE ;;DIRETA;;;
3;Procuradoria Geral do Município;PGM;;DIRETA;;;
4;Controladoria e Ouvidoria Geral do Município;CGM ;;DIRETA;;;
5;Secretaria Municipal de Governo;SEGOV;;DIRETA;;;
6;Secretaria Municipal das Finanças;SEFIN;;DIRETA;;;
7;Secretaria Municipal do Planejamento, Orçamento e Gestão;SEPOG;;DIRETA;;;
8;Secretaria Municipal da Segurança Cidadã;SESEC;;DIRETA;;;
9;Secretaria Municipal da Educação;SME;;DIRETA;;;
10;Secretaria Municipal da Saúde;SMS;;DIRETA;;;
11;Secretaria Municipal da Infraestrutura;SEINF;;DIRETA;;;
12;Secretaria Municipal da Conservação e Serviços Públicos;SCSP;;DIRETA;;;
13;Secretaria Municipal do Esporte e Lazer;SECEL;;DIRETA;;;
14;Secretaria Municipal do Urbanismo e Meio Ambiente;SEUMA;;DIRETA;;;
15;Secretaria Municipal do Turismo de Fortaleza;SETFOR;;DIRETA;;;
16;Secretaria Municipal do Trabalho, Desenvolvimento Social e Combate à Fome;SETRA;;DIRETA;;;
17;Secretaria Municipal da Cidadania e Direitos Humanos;SCDH ;;DIRETA;;;
18;Secretaria Municipal da Cultura de Fortaleza;SECULTFOR ;;DIRETA;;;
19;Secretaria Municipal do Desenvolvimento Econômico;SDE ;;DIRETA;;;
20;Secretaria Municipal do Desenvolvimento Habitacional de Fortaleza;HABITAFOR ;;DIRETA;;;
21;Secretaria Regional I;SERI;;DIRETA;;;
22;Secretaria Regional II;SER II ;;DIRETA;;;
23;Secretaria Regional III;SER III ;;DIRETA;;;
24;Secretaria Regional IV;SER IV ;;DIRETA;;;
25;Secretaria Regional V ;SER V ;;DIRETA;;;
26;Secretaria Regional VI;SER VI ;;DIRETA;;;
27;Secretaria Regional do Centro;SERCE ;;DIRETA;;;
28;Central de Licitações da Prefeitura de Fortaleza;CLFOR;SEPOG ;DIRETA;;;
29;Guarda Municipal de Fortaleza;GMF;SESEC ;DIRETA;;;
30;Departamento Municipal de Proteção e Defesa dos Direitos do Consumidor;PROCON;SCDH;DIRETA;;;
31;Instituto de Previdência do Município;IPM;SEPOG;AUTARQUIA;;;
32;Instituto Dr. José Frota;IJF;SMS;AUTARQUIA;;;
